date;home_team_id;home_team_goals;away_team_goals;away_team_id;tournament_id
14/04/2018;CRU;0;1;GRE;SERIE_A
14/04/2018;VIT;2;2;FLA;SERIE_A
14/04/2018;SAN;2;0;CEA;SERIE_A
15/04/2018;AME;3;0;SPO;SERIE_A
15/04/2018;VAS;2;1;ATL;SERIE_A
15/04/2018;COR;2;1;FLU;SERIE_A
15/04/2018;INT;2;0;BAH;SERIE_A
15/04/2018;ATH;5;1;CHA;SERIE_A
16/04/2018;BOT;1;1;PAL;SERIE_A
16/04/2018;SAO;1;0;PAR;SERIE_A
21/04/2018;BAH;1;0;SAN;SERIE_A
21/04/2018;FLA;2;0;AME;SERIE_A
22/04/2018;PAR;0;4;COR;SERIE_A
22/04/2018;CHA;1;1;VAS;SERIE_A
22/04/2018;FLU;1;0;CRU;SERIE_A
22/04/2018;CEA;0;0;SAO;SERIE_A
22/04/2018;PAL;1;0;INT;SERIE_A
22/04/2018;ATL;2;1;VIT;SERIE_A
22/04/2018;GRE;0;0;ATH;SERIE_A
23/04/2018;SPO;1;1;BOT;SERIE_A
28/04/2018;BOT;2;1;GRE;SERIE_A
29/04/2018;PAL;0;0;CHA;SERIE_A
29/04/2018;CEA;0;3;FLA;SERIE_A
29/04/2018;BAH;0;0;ATH;SERIE_A
29/04/2018;FLU;1;1;SAO;SERIE_A
29/04/2018;PAR;1;2;SPO;SERIE_A
29/04/2018;ATL;1;0;COR;SERIE_A
29/04/2018;INT;0;0;CRU;SERIE_A
30/04/2018;AME;2;1;VIT;SERIE_A
27/09/2018;SAN;1;1;VAS;SERIE_A
05/05/2018;VAS;4;1;AME;SERIE_A
05/05/2018;SAO;2;2;ATL;SERIE_A
06/05/2018;COR;1;1;CEA;SERIE_A
06/05/2018;FLA;2;0;INT;SERIE_A
06/05/2018;VIT;1;2;FLU;SERIE_A
06/05/2018;ATH;1;3;PAL;SERIE_A
06/05/2018;CRU;1;0;BOT;SERIE_A
06/05/2018;SPO;2;0;BAH;SERIE_A
06/05/2018;GRE;5;1;SAN;SERIE_A
07/05/2018;CHA;1;1;PAR;SERIE_A
12/05/2018;GRE;0;0;INT;SERIE_A
13/05/2018;CRU;2;0;SPO;SERIE_A
13/05/2018;ATH;1;2;ATL;SERIE_A
13/05/2018;CHA;3;2;FLA;SERIE_A
13/05/2018;BAH;2;2;SAO;SERIE_A
13/05/2018;VAS;2;3;VIT;SERIE_A
13/05/2018;COR;1;0;PAL;SERIE_A
13/05/2018;SAN;3;1;PAR;SERIE_A
14/05/2018;CEA;2;2;AME;SERIE_A
14/05/2018;BOT;2;1;FLU;SERIE_A
19/05/2018;ATL;1;0;CRU;SERIE_A
19/05/2018;FLA;1;1;VAS;SERIE_A
19/05/2018;PAL;3;0;BAH;SERIE_A
20/05/2018;VIT;2;1;CEA;SERIE_A
20/05/2018;PAR;0;0;GRE;SERIE_A
20/05/2018;AME;1;0;BOT;SERIE_A
20/05/2018;SAO;1;0;SAN;SERIE_A
20/05/2018;SPO;1;1;COR;SERIE_A
20/05/2018;FLU;2;0;ATH;SERIE_A
21/05/2018;INT;3;0;CHA;SERIE_A
26/05/2018;FLU;3;1;CHA;SERIE_A
26/05/2018;PAL;2;3;SPO;SERIE_A
26/05/2018;ATL;0;1;FLA;SERIE_A
27/05/2018;PAR;0;0;ATH;SERIE_A
27/05/2018;SAN;0;1;CRU;SERIE_A
27/05/2018;INT;2;1;COR;SERIE_A
27/05/2018;BOT;1;1;VIT;SERIE_A
27/05/2018;BAH;3;0;VAS;SERIE_A
27/05/2018;CEA;0;1;GRE;SERIE_A
27/05/2018;AME;1;3;SAO;SERIE_A
30/05/2018;SPO;3;2;ATL;SERIE_A
30/05/2018;VIT;2;3;INT;SERIE_A
30/05/2018;VAS;1;0;PAR;SERIE_A
30/05/2018;SAO;3;2;BOT;SERIE_A
30/05/2018;CHA;2;0;CEA;SERIE_A
